paper,page,line_idx,text
paper1,1,1,SemanticOn: Specifying Content-Based Semantic Conditions for
paper1,1,2,Web Automation Programs
paper1,1,3,KevinPu RaineyFu RuiDong
paper1,1,4,jpu@dgp.toronto.edu rainey.fu@mail.utoronto.ca ruidong@umich.edu
paper1,1,5,UniversityofToronto UniversityofToronto UniversityofMichigan
paper1,1,6,XinyuWa ang YanChen ToviGrossman
paper1,1,7,xwangasd@umich.edu yanchen@dgp.toronto.edu tovi@dgp.toronto.edu
paper1,1,8,UniversityofMichigan UniversityofToronto UniversityofToronto
paper1,1,9,target website target website SemanticOn target website
paper1,1,10,Conditions
paper1,1,11,a f
paper1,1,12,b
paper1,1,13,e
paper1,1,14,Output data
paper1,1,15,d
paper1,1,16,g
paper1,1,17,c h
paper1,1,18,prompt ???
paper1,1,19,56%
paper1,1,20,Step1: Specify conditions Step2: Demonstrate actions Step3: Refine & repair
paper1,1,21,Figure1:TheworkflowofSemanticOn.Therearethreestepstocreatingawebautomationprogramwithsemanticconditionsusing
paper1,1,22,"SemanticOn.(Step1)Tospecifysemanticconditions,userscaneitherdescribetheirintentintext(UserEnters,○c)orindicatethesectionof"
paper1,1,23,interestbybrushingthroughanimage○a orhighlightingpartsofatext○b (SystemSuggests).SemanticOnthenencodesthesespecifications
paper1,1,24,withcomputervisionandnaturallanguageprocessingtechniquesintowebprogramconditions.(Step2)Tocreatetheintendedweb
paper1,1,25,"automationprogram,usersdemonstratetheactionsonthewebsiteusingWebRobot,includingimagedownloading○d andtextscraping○e."
paper1,1,26,"(Step3)Oncetheprogramisexecuted,userscanalsoeasilycoordinatewithSemanticOntorefinethesemanticconditions(○f ,○h)ortake"
paper1,1,27,backcontroltoaddorremovedatamanually○g.
paper1,1,28,ABSTRACT conditionalwebautomationtasks.TheyreportedthatSemanticOn
paper1,1,29,"Datascientists,researchers,andclerksoftencreatewebautomation helpedthemeffectivelyexpressandrefinetheirsemanticintentby"
paper1,1,30,"programstoperformrepetitiveyetessentialtasks,suchasdata utilizingvisualandtextualconditions."
paper1,1,31,"scrapinganddataentry.However,existingwebautomationsys-"
paper1,1,32,KEYWORDS
paper1,1,33,temslackmechanismsfordefiningconditionalbehaviorswhere
paper1,1,34,"thesystemcanintelligentlyfiltercandidatecontentbasedonse- Webautomation,PBD,userintent,semantics"
paper1,1,35,"manticfilters(e.g.,extracttextsbasedonkeyideasorimagesbased"
paper1,1,36,"onentityrelationships).WeintroduceSemanticOn,asystemthat ACMReferenceFormat:"
paper1,1,37,"KevinPu,RaineyFu,RuiDong,XinyuWang,YanChen,andToviGrossman."
paper1,1,38,"enablesuserstospecify,refine,andincorporatevisualandtextual"
paper1,1,39,2022.SemanticOn:SpecifyingContent-BasedSemanticConditionsforWeb
paper1,1,40,semanticconditionsinwebautomationprogramsviatwomethods:
paper1,1,41,AutomationPrograms.InThe35thAnnualACMSymposiumonUserInterface
paper1,1,42,naturallanguagedescriptionviapromptsorinformationhighlight-
paper1,1,43,"SoftwareandTechnology(UIST’22),October29-November2,2022,Bend,OR,"
paper1,1,44,ing.UserscancoordinatewithSemanticOntorefinetheconditions
paper1,1,45,"USA.ACM,NewYork,NY,USA,16pages.https://doi.org/10.1145/3526113."
paper1,1,46,astheprogramcontinuouslyexecutesorreclaimmanualcontrol 3545691
paper1,1,47,"torepairerrors.Inauserstudy,participantscompletedaseriesof"
paper1,1,48,Permissiontomakedigitalorhardcopiesofallorpartofthisworkforpersonalor 1 INTRODUCTION
paper1,1,49,classroomuseisgrantedwithoutfeeprovidedthatcopiesarenotmadeordistributed
paper1,1,50,"forprofitorcommercialadvantageandthatcopiesbearthisnoticeandthefullcitation Enterprises, governments, and schools often use web-based ap-"
paper1,1,51,onthefirstpage.CopyrightsforcomponentsofthisworkownedbyothersthanACM plications to manage their businesses and services. Other than
paper1,1,52,"mustbehonored.Abstractingwithcreditispermitted.Tocopyotherwise,orrepublish,"
paper1,1,53,"informationconsumption,userssuchasclerks,datascientists,and"
paper1,1,54,"topostonserversortoredistributetolists,requirespriorspecificpermissionand/ora"
paper1,1,55,fee.Requestpermissionsfrompermissions@acm.org. researchersoftenemploythesewebplatformstoconducttasksthat
paper1,1,56,"UIST’22,October29-November2,2022,Bend,OR,USA arerepetitiveyetessential,suchasdatascrapinganddataentry."
paper1,1,57,©2022AssociationforComputingMachinery.
paper1,1,58,Performingthesetasksmanuallycanoftenleadtohumanerrors
paper1,1,59,ACMISBN978-1-4503-9320-1/22/10...$15.00
paper1,1,60,"https://doi.org/10.1145/3526113.3545691 (e.g.,dataduplicates,missedentries),whichcancauseinefficiencies."
paper1,2,1,"UIST’22,October29-November2,2022,Bend,OR,USA KevinPu,etal."
paper1,2,2,Webautomationoffersasolutionthatleveragesbotstomimichu- Figure1depictsthethreestepsofusingSemanticOn.(Step1)To
paper1,2,3,"maninteractionsonwebapplications.Itassistsuserswithtedious specifysemanticconditions,userscaneitherdescribetheirintent"
paper1,2,4,"andrecurringtasksandhasproventobefasterandmoreaccurate inasentence(Fig.1.c),indicatetheirareaofinterestbybrushing"
paper1,2,5,"forvarioustasktypescomparedtomanualeffort[42]. throughanimage(Fig.1.a),orhighlightpartsofatext(Fig.1.b)."
paper1,2,6,Pastresearchhasdevelopedtechniquestohelpusersofallex- SemanticOnusessimilarity-basedcomputervisionandnaturallan-
paper1,2,7,pertiselevelstoquicklyandaccuratelycreatetheirintendedweb guageprocessingtechniquestoencodethesespecificationsinto
paper1,2,8,"automationprograms[25–27,44,68].However,thesetechniques webprogramconditions.(Step2)Tocreatetheintendedwebau-"
paper1,2,9,"arelimitedtocreatingprogramswithrequirementsatthewebsite tomationprogram,userswilldemonstrateactionsonthewebsite"
paper1,2,10,"syntaxorstructurallevel(e.g.,scrapingthefirsttwoitemsineach usingWebRobot,includingimagedownloading(Fig.1.d)andtext"
paper1,2,11,"rowofatable).Toolscapableofcreatinglogicbasedonthemean- scraping(Fig.1.e).(Step3)Oncetheprogramisexecuted,users"
paper1,2,12,"ingofthecontent(semantics)remainunexplored.Forinstance, canalsoeasilycoordinatewithSemanticOntorefinethesemantic"
paper1,2,13,"commercialtoolssuchasiMacros[2]andUiPath[8]enableusers conditionsbasedontheautomaticallydetectedinformation(Fig.1.f,"
paper1,2,14,toperformrecord-and-replayinteractionsforwebautomationand Fig.1.h)orreclaimcontroltomanuallyaddorremovedataifthe
paper1,2,15,"testing.ResearchtoolssuchasHelena[15]furtherthistechniqueby programhasmisjudged(Fig.1.g).Toourknowledge,SemanticOn"
